song,liked,user_id
Ahe's My Kind Of Girl,0,1
"Andante, Andante",0,2
As Good As New,0,3
Bang,0,4
Bang-A-Boomerang,1,5
Burning My Bridges,1,6
Cassandra,1,7
Chiquitita,1,8
Crazy World,1,9
Crying Over You,1,10
Dance,0,11
Dancing Queen,0,12
Disillusion,1,13
Does Your Mother Know,1,14
Dream World,1,15
Dum Dum Diddle,1,16
Eagle,1,17
Every Good Man,1,18
Fernando,1,19
Fernando (In Spanish),0,20
Free As A Bumble Bee,1,21
From A Twinkling Star To A Passing Angel,1,22
Gimme Gimme Gimme,0,23
Givin' A Little Bit More,0,24
Gonna Sing You My Lovesong,0,25
Hamlet III,1,26
Happy Hawaii,0,27
Happy New Year,1,28
He Is Your Brother,1,29
Head Over Heels,0,30
Here We'll Stay,0,31
Hey Hey Helen,0,32
Hole In Your Soul,0,33
"Honey, Honey",0,34
I Am Just A Girl,1,35
I Am The City,0,36
"I Do, I Do, I Do, I Do, I Do",1,37
I Have A Dream,0,38
I Let The Music Speak,0,39
I Saw It In The Mirror,1,40
I Wonder (Departure),0,41
I Wonder (Departure) [Live],0,42
If It Wasn't For The Nights,1,43
I'm A Marionette,1,44
I've Been Waiting For You,1,45
Juper Jrouper,1,46
Just A Notion,0,47
King Kong Song,0,48
Kisses Of Fire,1,49
Knowing Me Knowing You,0,50
Lay All Your Love On Me,1,51
Like An Angel Passing Through My Room,1,52
Love Has It's Ways,1,53
Love Isn't Easy,1,54
Lovelight,0,55
Lovers,0,56
Mamma Mia,0,57
Man In The Middle,0,58
Me And Bobby And Bobby's Brother,1,59
Me And I,1,60
Merry-Go-Round,1,61
Midnight Special,1,62
Money Money Money,1,63
Move On,0,64
"My Love, My Life",1,65
My Mama Said,0,66
"Nina, Pretty Ballerina",1,67
On And On And On,0,68
"One Man, One Woman",1,69
One Of Us,1,70
Our Last Summer,1,71
People Need Love,0,72
Pick A Bale Of Cotton,1,73
Put On Your White Sombrero,1,74
Reina Danzante,0,75
Rikky Rock'n'Roller,0,76
Ring Ring,1,77
Rock Me,0,78
Rock 'n Roll Band,0,79
Rubber Ball Man,1,80
S. O. S.,0,81
Should I Laugh Or Cry,0,82
Sitting In The Palmtree,0,83
Slipping Through My Fingers,0,84
So Long,0,85
Soldiers,0,86
SOS,1,87
Summer Night City,0,88
Suzy-Hang-Around,0,89
Take A Chance,0,90
Take A Chance On Me,1,91
Thank You For The Music,1,92
That's Me,1,93
The Day Before You Came,0,94
The King Has Lost His Crown,1,95
The Name Of The Game,1,96
The Piper,0,97
The Visitors,0,98
The Way Old Friends Do,0,99
The Winner Takes It All,0,100
Tiger,1,101
Tropical Loveland,1,102
Two For The Price Of One,1,103
Under Attack,1,104
Voulez Vous,1,105
Watch Out,0,106
Waterloo,1,107
We Wish You A Merry Christmas,0,108
What About Livingstone,0,109
When All Is Said And Done,0,110
When I Kissed The Teacher,0,111
Why Did It Have To Be Me?,1,112
You Owe Me One,1,113
"Always Have, Always Will",0,114
Cecilia,1,115
Don't Stop,0,116
Edge Of Heaven,0,117
Fashion Party,1,118
Happy Nation,0,119
Hey Darling,0,120
Life Is A Flower,1,121
"Mercy, Mercy",1,122
Never Gonna Say I'm Sorry,1,123
Perfect World,1,124
Who Am I,1,125
Camp Granada,0,126
Creepin' On The Mayor,1,127
Love Stinks,1,128
Mr. Bake-O,0,129
Steve Polychronopolous,1,130
The Adventures Of The Cow,0,131
The Psychotic Legend Of Uncle Donnie,0,132
Welcome My Son,1,133
All I Ask,1,134
Can't Let Go,1,135
Crazy For You,1,136
Daydreamer,1,137
Hello,0,138
I Miss You,0,139
Melt My Heart To Stone,1,140
Need You Know,0,141
Now And Then,1,142
Someone Like You,1,143
Think That I Get Told The Court,1,144
You'll Never See Me Again,0,145
All Your Love,0,146
Bacon Biscuit Blues,1,147
Blind Man,0,148
Draw The Line,0,149
Eat The Rich,0,150
Falling In Love,1,151
Fever,1,152
Get It Up,1,153
I Ain't Got You,1,154
I'm Ready,0,155
Janie's Got A Gun,1,156
Lay It Down,1,157
Love In An Elevator,1,158
Love Me Like A Bird Dog,1,159
Love Me Two Times,0,160
Luv Lies,0,161
Magic Touch,0,162
Make It,0,163
Mama Kin,0,164
Melt Down,0,165
Mia,1,166
Milkcow Blues,0,167
Monkey On My Back,1,168
Mother Popcorn,0,169
